LICENSE NUMBER,LICENSEE NAME,BUSINESS NAME,LICENSE TYPE,ACTIVE,COUNTY,Retail Delivery,Medical Grade,Hemp
050 100037147CC,Hotbox Farms LLC,Hotbox Farms,Recreational Retailer,Yes,Baker,,Yes,
050 10011127277,"Scott, Inc",420VILLE,Recreational Retailer,Yes,Baker,,,
020 10017768FC7,"Burnt River Farms, LLC",Burnt River Farms LLC. ,Recreational Producer,Yes,Baker,,,
030 10031846B25,"Burnt River Farms, LLC",Burnt River Farms LLC. ,Recreational Processor,Yes,Baker,,,
060 1003692E356,"Burnt River Farms, LLC",Burnt River Farms LLC. ,Recreational Wholesaler,Yes,Baker,,,
050 1003713A8A4,"The Coughie Pot, LLC",The Coughie Pot,Recreational Retailer,Yes,Baker,,,
050 10047883377,"Sumpter Nugget, LLC",Sumpter Nugget,Recreational Retailer,Yes,Baker,,Yes,
030 10071310CDB,"Nugget Candy Co, LLC","Nugget Candy Co, LLC",Recreational Processor,Yes,Baker,,,
060 10079080A50,420BUNKERVILLE LLC,420 Bunkerville,Recreational Wholesaler,Yes,Baker,,,
060 1010135EC04,Hotbox Farms LLC,Hotbox Farms,Recreational Wholesaler,,Baker,,,
020 10001223B25,Fire Creek Farms LLC.,Fire Creek Farms,Recreational Producer,Yes,Benton,,,
020 100013554D9,"Country Grow, LLC",Country Grow,Recreational Producer,Yes,Benton,,,
020 1000140D286,"Bosmere Farms, Inc.","Bosmere Farms, Inc.",Recreational Producer,Yes,Benton,,,
020 10004312ECD,Grasshopper Farm LLC,Cascade Valley Cannabis,Recreational Producer,Yes,Benton,,,
020 1001124042C,Apollo Grown Inc.,Apollo Grown Inc.,Recreational Producer,Yes,Benton,,,
020 1001135132A,"Next Generation Nurseries, LLC. ",Next Generation Nurseries ,Recreational Producer,Yes,Benton,,,
020 100151214C6,Archer Farms LLC,Amber Creek,Recreational Producer,Yes,Benton,,,
030 1001972282D,C&R Oregon Corporation,C&R Oregon Corporation,Recreational Processor,Yes,Benton,,Yes,Yes
020 1002624CA64,"FirstEmerald, LLC",Happy Cabbage Farms,Recreational Producer,Yes,Benton,,,
020 1002642637F,"Grizzilla Farms, LLC",Grizzilla Farms,Recreational Producer,Yes,Benton,,,
050 100297375C8,COPR Incorporated,Green Room,Recreational Retailer,Yes,Benton,Yes,Yes,
020 10029958F48,"Tenacious, LLC",Bloom Hill Botanicals,Recreational Producer,Yes,Benton,,,
030 1003030B124,"FirstEmerald, LLC",Happy Cabbage Farms,Recreational Processor,Yes,Benton,,,
050 100331502C1,Omnific Sol Limited,Beaver Bowls,Recreational Retailer,Yes,Benton,Yes,Yes,
020 10035529C65,Pacific Commercial Holdings LLC,Oregon Genetics,Recreational Producer,Yes,Benton,,,
020 10035593CF8, The Dank Side LLC,Dankside Farms,Recreational Producer,Yes,Benton,,,
050 10038995791,COPR Incorporated,Green Room (Campus),Recreational Retailer,Yes,Benton,,Yes,
060 1004153836F,C&R Oregon Corporation,C&R Oregon Corporation,Recreational Wholesaler,Yes,Benton,,Yes,
